N°,oraciones
36,"Especificación de la implementación aplicando lenguajes de programación, herramientas, etc."
37,Validación y tratamiento de datos.
38,Métodos para la validación.
39,Técnicas para la recopilación de datos.
40,Presentación de datos cualitativos y cuantitativos.
41,Análisis e interpretación de datos.
42,Presentación de resultados.
43,Estrategias para la presentación de resultados.
44,Formulación de la discusión.
45,Formulación de las conclusiones.
46,Formulación de las recomendaciones.
47,Revisión del documento de tesis.
48,Revisión de los aspectos formales.
49,Revisión de la coherencia y Página 3 de 9 consistencia interna del documento de investigación.
50,Revisión del contenido y redacción.
51,Revisión de las citaciones y referencias.
52,Presentación de la tesis.
53,Requisitos para la presentación.
54,Aspectos para la disertación.
55,Exposición de la tesis.
56,VI.
57,UNIDADES DE APRENDIZAJE UNIDAD I Elaboración de la propuesta SEMANA CONTENIDOS ESPECÍFICOS 11/03/2024 - 03/05/2024
58,"Enunciado de la capacidad a ser lograda por el estudiante: Identificada la problemática, el estudiante elabora una propuesta de solución consistente y coherente siguiendo las pautas metodológicas para la elaboración de la solución 1"
59,"1.1 Revisión del proyecto de investigación 1.1.1 Revisión de la Introducción 1.1.2 Revisión del Marco Teórico y Estado del Arte 1.1.3 Evaluación de la viabilidad y factibilidad 1.1.4 Identificación de posibles dificultades 2 1.2 Diseño metodológico 1.2.1 Metodologías Predictivas 1.2.2 Metodologías Iterativas 1.2.3 Metodologías Ágiles 1.2.4 Otras metodologías 3,4,5 1.3 Especificación del diseño de la propuesta 1.3.1 Estrategias de diseño 1.3.2 Herramientas para el diseño 6,7,8 1.4 Implementación de la propuesta 1.4.1 Aspectos de implementación 1.4.2 Entornos para la implementación Metodología"
60,"Se aplicará la metodología activa en la cual los estudiantes realizarán exposiciones de lo desarrollado en el curso de Seminario de Tesis I, generando un diálogo para el debate y discusión de los puntos tratados."
61,"Asimismo, en cada presentación de revisión se formularán cuestionamientos y preguntas de opinión sobre aspectos metodológicos y de contenido."
62,"Aplicación de clases magistrales, el aprendizaje por proyectos, y el aprendizaje basado en investigación formativa"
63,"Fuentes de consulta documental Becker, H. S., & Richards, P. (2007)."
64,"Writing for social scientists: How to start and finish your thesis, book, or article (2.ed)."
65,Univ. of Chicago Press.
66,"Eco, U., Mongiat Farina, C., & Farina, G. (2015)."
67,How to write a thesis.
68,MIT Press.
69,"Hernández Sampieri, R., Fernández Collado, C., & Baptista Lucio, P. (2014)."
70,"Metodología de la Investigación Eco, U. (2014)."
71,Cómo se hace una tesis.
72,Editorial Gedisa.
73,"Rainer Ribing, M. (2017)."
74,"Guía para elaborar trabajos académicos (Doctoral dissertation, Tesis y trabajos de pregrado, maestría y doctorado.(1 edición)."
75,Colombia: Panamericana Editorial).
76,"Género, M., Cruz-Lemus, Jose."
77,(2014).
78,Métodos de Investigación en Ingeniería de Software.
79,"Ed. Rama, Mexico."
80,Cap 7.
81,"Sommerville, I. (2015)."
82,Software engineering 10th Edition.
83,"ISBN-10, 137035152, 18."
84,"Kornuta, H. M., & Germaine, R. W. (2019)."
85,A concise guide to writing a thesis or dissertation: Educational research and beyond (Second edition)
86,.
87,Routledge.
88,      
